COUNTY,ADDRESS TO,STREET 1,STREET 2,CITY,STATE,ZIP,PHONE
Autauga County,Absentee Election Manager,PO Box 681864,"",Prattville,AL,36068,""
Baldwin County,Circuit Clerk-Absentee Election Manager,312 Courthouse Sq Ste 10,"",Bay Minette,AL,36507,""
Barbour County,Circuit Clerk-Absentee Election Manager,303 E Broad St Ste 201,"",Eufaula,AL,36027,""
Bibb County,Circuit Clerk-Absentee Election Manager,PO Box 185,"",Centreville,AL,35042,""
Blount County,Circuit Clerk-Absentee Election Manager,220 2nd Ave E Rm 208,"",Oneonta,AL,35121,""
Bullock County,Circuit Clerk-Absentee Election Manager,PO Box 230,"",Union Springs,AL,36089,""
Butler County,Circuit Clerk-Absentee Election Manager,PO Box 236,"",Greenville,AL,36037,""
Calhoun County,Absentee Election Manager,1702 Noble Street  Ste 111,"",Anniston,AL,36201,""
Chambers County,Circuit Clerk-Absentee Election Manager,2 Lafayette St,Suite B114,Lafayette,AL,36862,""
Cherokee County,Circuit Clerk-Absentee Election Manager,100 Main St Rm 203,"",Centre,AL,35960,""
Chilton County,Circuit Clerk-Absentee Election Manager,PO Box 1946,"",Clanton,AL,35046,""
Choctaw County,Circuit Clerk-Absentee Election Manager,PO Box 428,"",Butler,AL,36904,""
Clarke County,Circuit Clerk-Absentee Election Manager,PO Box 921,"",Grove Hill,AL,36451,""
Clay County,Circuit Clerk-Absentee Election Manager,PO Box 816,"",Ashland,AL,36251,""
Cleburne County,Circuit Clerk-Absentee Election Manager,120 Vickery St Ste 202,"",Heflin,AL,36264,""
Coffee County,Absentee Election Manager,PO Box 427,"",New Brockton,AL,36351,""
Colbert County,Circuit Clerk-Absentee Election Manager,PO Box 740370,"",Tuscumbia,AL,35674,""
Conecuh County,Circuit Clerk-Absentee Election Manager,Conecuh County Courthouse,"111 Court St, Rm 203",Evergreen,AL,36401,""
Coosa County,Circuit Clerk-Absentee Election Manager,PO Box 98,"",Rockford,AL,35136,""
Covington County,Circuit Clerk-Absentee Election Manager,1 N Court Sq Ste K,"",Andalusia,AL,36420,""
Crenshaw County,Circuit Clerk-Absentee Election Manager,PO Box 263,"",Luverne,AL,36049,""
Cullman County,Circuit Clerk-Absentee Election Manager,500 2nd Ave SW Ste 303,"",Cullman,AL,35055,""
Dale County,Circuit Clerk-Absentee Election Manager,PO Box 1350,"",Ozark,AL,36361,""
Dallas County,Circuit Clerk-Absentee Election Manager,PO Box 327,"",Selma,AL,36702,""
DeKalb County,Circuit Clerk-Absentee Election Manager,PO Box 681149,"",Ft. Payne,AL,35968,""
Elmore County,Circuit Clerk-Absentee Election Manager,PO Box 310,"",Wetumpka,AL,36092,""
Escambia County,Circuit Clerk-Absentee Election Manager,PO Box 856,"",Brewton,AL,36427,""
Etowah County,Circuit Clerk-Absentee Election Manager,Judicial Building,801 Forrest Ave Ste 202,Gadsden,AL,35901,""
Fayette County,Circuit Clerk-Absentee Election Manager,PO Box 906,"",Fayette,AL,35555,""
Franklin County,Circuit Clerk-Absentee Election Manager,PO Box 160,"",Russellville,AL,35653,""
Geneva County,Circuit Clerk-Absentee Election Manager,PO Box 86,"",Geneva,AL,36340,""
